2.142781,2.142869
2.140114,2.139847
2.138134,2.137816
2.127229,2.126694
1.952289,1.954571
1.407355,1.405135
1.251766,1.250515
0.859267,0.856721
0.857264,0.855725
0.854539,0.853339
0.849905,0.848712
0.845430,0.844280
0.839071,0.837926
0.829981,0.828309
0.815781,0.814310
0.805503,0.803348
0.798582,0.793896
0.786130,0.780648
0.774211,0.767693
0.759628,0.751670
0.743412,0.734578
0.724743,0.716958
0.699486,0.693192
0.672913,0.668040
0.653810,0.648874
0.643689,0.639191
0.636711,0.632496
0.631471,0.627426
0.627577,0.623671
0.624435,0.620811
0.622004,0.618570
0.619175,0.615908
0.617820,0.614765
0.616682,0.613817
0.615685,0.613001
0.615005,0.612491
0.614420,0.612415
0.613884,0.612015
0.613441,0.611704
0.613072,0.611464
0.612764,0.611280
0.612499,0.611140
0.612241,0.611027
0.611996,0.610884
0.611789,0.610854
0.611718,0.610871
0.611509,0.611076
0.611431,0.611017
0.611338,0.610917
0.611274,0.610908
0.611185,0.610987
0.611011,0.611159
0.610913,0.610988
0.610999,0.610855
0.611199,0.611034
0.611162,0.610981
0.611146,0.610989
0.611087,0.610966
0.611021,0.610895
0.611034,0.610978
0.610875,0.610754
0.610683,0.610638
0.610609,0.610431
0.610537,0.610316
0.610523,0.610179
0.610464,0.610246
0.610390,0.610168
0.610435,0.610093
0.610416,0.610135
0.610377,0.610110
0.610355,0.610165
0.610309,0.610072
0.610228,0.609979
0.610124,0.609895
0.610103,0.609876
0.610092,0.609868
0.610039,0.609815
0.610001,0.609801
0.609970,0.609832
0.609920,0.609741
0.609862,0.609706
0.609853,0.609646
0.609850,0.609668
0.609809,0.609712
0.609763,0.609617
0.609656,0.609551
0.609627,0.609511
0.609575,0.609418
0.609544,0.609418
0.609624,0.609536
0.609653,0.609529
0.609638,0.609523
0.609748,0.609637
0.609760,0.609637
0.609774,0.609651
0.609767,0.609646
0.609782,0.609644
0.609803,0.609694
0.609791,0.609685
0.609789,0.609682
